theta(deg)	err(m)
5.00	0.0152
12.08	0.0172
19.17	0.0196
26.25	0.0176
33.33	0.0156
40.42	0.0135
47.50	0.0115
54.58	0.0094
61.67	0.0074
68.75	0.0053
75.83	0.0033
82.92	0.1179
90.00	0.4265
97.08	0.7334
104.17	1.2269
111.25	1.8172
118.33	2.3795
125.42	2.9053
132.50	3.3864
139.58	3.8155
146.67	4.1860
153.75	4.4921
160.83	4.7292
167.92	4.8856
175.00	4.9796
